timestamp,alert_level,alert_message,alert_type
2025-11-17 09:04:00+00:00,INFO,Low battery,battery
2025-11-17 09:06:00+00:00,WARN,Low battery,battery
2025-11-17 09:19:00+00:00,ALERT,Temperature high,temperature
2025-11-17 09:21:00+00:00,WARN,Temperature high,temperature
2025-11-17 09:26:00+00:00,INFO,Low battery,battery
2025-11-17 09:27:00+00:00,CRITICAL,Low battery,battery
2025-11-17 09:29:00+00:00,ALERT,Servo unresponsive,servo
2025-11-17 09:31:00+00:00,ALERT,Servo unresponsive,servo
2025-11-17 09:31:00+00:00,CRITICAL,Vibration spike,vibration
2025-11-17 09:35:00+00:00,WARN,Vibration spike,vibration
2025-11-17 09:35:00+00:00,CRITICAL,Vibration spike,vibration
2025-11-17 09:37:00+00:00,INFO,Network glitch,network
2025-11-17 09:45:00+00:00,NOTICE,Servo unresponsive,servo
2025-11-17 09:46:00+00:00,WARN,Vibration spike,vibration
2025-11-17 09:51:00+00:00,NOTICE,Network glitch,network
2025-11-17 09:53:00+00:00,NOTICE,Temperature high,temperature
2025-11-17 09:58:00+00:00,INFO,Network glitch,network
2025-11-17 10:02:00+00:00,CRITICAL,Temperature high,temperature
2025-11-17 10:03:00+00:00,INFO,Servo unresponsive,servo
2025-11-17 10:03:00+00:00,NOTICE,Vibration spike,vibration
2025-11-17 10:06:00+00:00,NOTICE,Network glitch,network
2025-11-17 10:07:00+00:00,INFO,Temperature high,temperature
2025-11-17 10:10:00+00:00,WARN,Low battery,battery
2025-11-17 10:15:00+00:00,NOTICE,Low battery,battery
2025-11-17 10:17:00+00:00,ALERT,Network glitch,network
2025-11-17 10:18:00+00:00,WARN,Servo unresponsive,servo
2025-11-17 10:19:00+00:00,INFO,Low battery,battery
2025-11-17 10:25:00+00:00,WARN,Low battery,battery
2025-11-17 10:25:00+00:00,CRITICAL,Network glitch,network
2025-11-17 10:25:00+00:00,WARN,Network glitch,network
2025-11-17 10:27:00+00:00,WARN,Network glitch,network
2025-11-17 10:28:00+00:00,WARN,Servo unresponsive,servo
2025-11-17 10:28:00+00:00,ALERT,Vibration spike,vibration
2025-11-17 10:28:00+00:00,CRITICAL,Vibration spike,vibration
2025-11-17 10:29:00+00:00,ALERT,Network glitch,network
2025-11-17 10:31:00+00:00,INFO,Servo unresponsive,servo
2025-11-17 10:34:00+00:00,ALERT,Servo unresponsive,servo
2025-11-17 10:34:00+00:00,ALERT,Network glitch,network
2025-11-17 10:36:00+00:00,INFO,Temperature high,temperature
2025-11-17 10:38:00+00:00,INFO,Network glitch,network
2025-11-17 10:39:00+00:00,WARN,Vibration spike,vibration
2025-11-17 10:39:00+00:00,NOTICE,Servo unresponsive,servo
2025-11-17 10:39:00+00:00,INFO,Network glitch,network
2025-11-17 10:44:00+00:00,WARN,Network glitch,network
2025-11-17 10:51:00+00:00,ALERT,Vibration spike,vibration
2025-11-17 10:52:00+00:00,CRITICAL,Network glitch,network
2025-11-17 10:54:00+00:00,WARN,Network glitch,network
2025-11-17 10:58:00+00:00,CRITICAL,Temperature high,temperature
2025-11-17 11:00:00+00:00,ALERT,Vibration spike,vibration
2025-11-17 11:00:00+00:00,WARN,Temperature high,temperature
